SKU,ModelFamily,color,MemorySize,Ext_Color,Ext_memorySize,Brand,SourceChannel,FunctionalStatus
APL 616GB GLD ESTK UNL,616GB ,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL 732GB SLV B2STK UNL,732GB ,SILVER,32GB      ,SILVER,32GB,APPLE,BBTI,UNTESTED
APL 8P256G SLV CSTK UNL,8P256G,SILVER,64GB      ,SILVER,64GB,APPLE,BBTI,UNTESTED
APL AWG1 38MM STNSTL CST,AWG1  ,STNSTL,38MM      ,STAINLESS STEEL,,APPLE,APPLE BBTI,UNTESTED
APL AWG1 42MM STNSTL CST,AWG1  ,STNSTL,42MM      ,STAINLESS STEEL,,APPLE,APPLE BBTI,UNTESTED
APL AWS1AL 38MM SLV CST,AWS1AL,SILVER,38MM      ,SILVER,,APPLE,APPLE BBTI,UNTESTED
APL AWS1AL 42MM SLV CST,AWS1AL,SILVER,42MM      ,SILVER,,APPLE,APPLE BBTI,UNTESTED
APL AWS2AL 38MM SLV CST,AWS2AL,SILVER,38MM      ,SILVER,,APPLE,APPLE BBTI,UNTESTED
APL AWS2AL 42MM SLV CST,AWS2AL,SILVER,42MM      ,SILVER,,APPLE,APPLE BBTI,UNTESTED
APL AWS2N+ 42MM GRY CST,AWS2N+,GRAY  ,42MM      ,GRAY  ,,APPLE,APPLE BBTI,UNTESTED
APL AWS3AL(G) 38MM GRY CST,AWS3AL,GRAY  ,38MM      ,GRAY  ,,APPLE,APPLE BBTI,UNTESTED
APL AWS3AL(G) 42MM GRY BST,AWS3AL,GRAY  ,42MM      ,GRAY  ,,APPLE,APPLE BBTI,UNTESTED
APL AWS3AL(G) 42MM GRY CST,AWS3AL,GRAY  ,42MM      ,GRAY  ,,APPLE,APPLE BBTI,UNTESTED
APL AWS3AL(G+C) 38MM GLD CST,AWS3AL,GOLD  ,38MM      ,GOLD  ,,APPLE,APPLE BBTI,UNTESTED
APL AWS3AL(G+C) 42MM GRY CST,AWS3AL,GRAY  ,42MM      ,GRAY  ,,APPLE,APPLE BBTI,UNTESTED
APL AWS3N+(G+C) 38MM GRY BST,AWS3N+,GRAY  ,38MM      ,GRAY  ,,APPLE,APPLE BBTI,UNTESTED
APL AWS3N+(G+C) 38MM GRY CST,AWS3N+,GRAY  ,38MM      ,GRAY  ,,APPLE,APPLE BBTI,UNTESTED
APL AWS3N+(G+C) 38MM SLV CST,AWS3N+,SILVER,38MM      ,SILVER,,APPLE,APPLE BBTI,UNTESTED
APL AWS3N+(G+C) 42MM GRY CST,AWS3N+,GRAY  ,42MM      ,GRAY  ,,APPLE,APPLE BBTI,UNTESTED
